"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2020,1-12-2019,"Sunday","I","+","violet","1st Sunday of Advent","","./1962/Advent/Sunday/1/"
2020,2-12-2019,"Monday","III","","white","Mass Roráte cœli désuper","","./1962/12/2/"
2020,3-12-2019,"Tuesday","III","","white","St. Francis Xavier Confessor, III class.","","./1962/12/3/"
2020,4-12-2019,"Wednesday","III","","white","St. Peter Chrysologus Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Barbara Virgin and Martyr.","./1962/12/4/"
2020,5-12-2019,"Thursday","III","","violet","Feria of Advent","Commemoration of St. Sabbas Abbot, Comm.","./1962/12/5/"
2020,6-12-2019,"Friday","III","","white","St. Nicholas Bishop and Confessor, III class.","","./1962/12/6/"
2020,7-12-2019,"Saturday","III","","white","St. Ambrose Bishop, Confessor, and Doctor of the Church, III class.","","./1962/12/7/"
2020,8-12-2019,"Sunday","I","+","white","On the Immaculate Conception of the Blessed Virgin Mary, I class.","2nd Sunday of Advent","./1962/Advent/Sunday/2/"
2020,9-12-2019,"Monday","III","","violet","Feria of Advent","","./1962/12/9/"
2020,10-12-2019,"Tuesday","III","","violet","Feria of Advent","Commemoration of St. Melchiades Pope and Martyr, Comm.","./1962/12/10/"
2020,11-12-2019,"Wednesday","III","","white","St. Damasus I Pope and Confessor, III class.","","./1962/12/11/"
2020,12-12-2019,"Thursday","III","","violet","Feria of Advent","","./1962/12/12/"
2020,13-12-2019,"Friday","III","","red","St. Lucy Virgin and Martyr, III class.","","./1962/12/13/"
2020,14-12-2019,"Saturday","III","","violet","Feria of Advent","","./1962/12/14/"
2020,15-12-2019,"Sunday","I","+","rose","Gaudete Sunday","","./1962/Advent/Sunday/3/"
2020,16-12-2019,"Monday","II","","violet","Greater Feria of Advent","","./1962/12/16/"
2020,17-12-2019,"Tuesday","II","","violet","Greater Feria of Advent","","./1962/12/17/"
2020,18-12-2019,"Wednesday","II","","violet","Ember Wednesday of Advent","","./1962/Advent/Ember/Wednesday/"
2020,19-12-2019,"Thursday","II","","violet","Greater Feria of Advent","","./1962/12/19/"
2020,20-12-2019,"Friday","II","","violet","Ember Friday of Avent","","./1962/Advent/Ember/Friday/"
2020,21-12-2019,"Saturday","II","","white","St. Thomas Apostle, II class.","Ember Saturday of Advent","./1962/Advent/Ember/Saturday/"
2020,22-12-2019,"Sunday","I","+","violet","4th Sunday of Advent","","./1962/Advent/Sunday/4/"
2020,23-12-2019,"Monday","II","","violet","Greater Feria of Advent","","./1962/12/23/"
2020,24-12-2019,"Tuesday","I","","white","Vigil of the Nativity of Our Lord","","./1962/12/24/"
2020,25-12-2019,"Wednesday","I","+","white","The Nativity of Our Lord, First Mass at Midnight","","./1962/Christmas/Day/"
2020,26-12-2019,"Thursday","II","","red","II day within the octave of the Nativity of the Lord: St. Stephen Protomartyr, II class.","","./1962/12/26/"
2020,27-12-2019,"Friday","II","","white","III day within the octave of the Nativity of the Lord: St. John Apostle and Evangelist, II class.","","./1962/12/27/"
2020,28-12-2019,"Saturday","II","","red","IV day within the octave of the Nativity of the Lord: The Holy Innocents, II class.","","./1962/12/28/"
2020,29-12-2019,"Sunday","II","+","white","Sunday in the Octave of Christmas","","./1962/Christmas/Sunday/"
2020,30-12-2019,"Monday","II","","white","Of the VI day within the Octave of the Nativity, II class.","","./1962/12/30/"
2020,31-12-2019,"Tuesday","II","","white","Of the VII day within the Octave of the Nativity, II class","Commemoration of St. Sylvester I Pope and Confessor.","./1962/12/31/"
2020,1-1-2020,"Wednesday","I","","white","Octave of the Nativity of the Lord, I class.","","./1962/1/1/"
2020,2-1-2020,"Thursday","IV","","white","Feria in Christmastide","","./1962/Christmas/Feria/"
2020,3-1-2020,"Friday","IV","","white","Feria in Christmastide","","./1962/Christmas/Feria/"
2020,4-1-2020,"Saturday","IV","","white","Saturday of Our Lady","","./1962/Christmas/Feria/"
2020,5-1-2020,"Sunday","II","+","white","Feast of the Holy Name of Jesus","","./1962/Christmas/HolyName/"
2020,6-1-2020,"Monday","I","+","white","On the Epiphany of the Lord, I class.","","./1962/1/6/"
2020,7-1-2020,"Tuesday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2020,8-1-2020,"Wednesday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2020,9-1-2020,"Thursday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2020,10-1-2020,"Friday","IV","","white","Feria","","./1962/Epiphany/1/Sunday/"
2020,11-1-2020,"Saturday","IV","","white","Saturday of Our Lady","Commemoration of St. Hyginus Pope and Martyr, Comm.","./1962/1/11/"
2020,12-1-2020,"Sunday","II","+","white","Feast of the Holy Family","","./1962/Christmas/HolyFamily/"
2020,13-1-2020,"Monday","II","","white","On the Commemoration of the Baptism of our Lord Jesus Christ, II class.","Plough Monday","./1962/Epiphany/1/Sunday/"
2020,14-1-2020,"Tuesday","III","","white","St. Hilary Bishop, Confessor, and Doctor of the Church, III class","Com. of St. Felix Priest and Martyr.","./1962/1/14/"
2020,15-1-2020,"Wednesday","III","","white","St. Paul the First Hermit, Confessor, III class","Com. of St. Maurus Abbot.","./1962/1/15/"
2020,16-1-2020,"Thursday","III","","red","St. Marcellus I Pope and Martyr, III class.","","./1962/1/16/"
2020,17-1-2020,"Friday","III","","white","St. Anthony Abbot, III class.","","./1962/1/17/"
2020,18-1-2020,"Saturday","IV","","white","Saturday of Our Lady","Commemoration of St. Prisca Virgin and Martyr, Comm.","./1962/1/18/"
2020,19-1-2020,"Sunday","II","+","green","2nd Sunday after Epiphany","","./1962/Epiphany/2/Sunday/"
2020,20-1-2020,"Monday","III","","white","Ss. Fabian Pope and Sebastian Martyrs, III class.","","./1962/Epiphany/1/Sunday/"
2020,21-1-2020,"Tuesday","III","","white","St. Agnes, Virgin and Martyr, III class","","./1962/1/21/"
2020,22-1-2020,"Wednesday","III","","red","Ss. Vincent and Anastasius Martyrs, III class.","","./1962/1/22/"
2020,23-1-2020,"Thursday","III","","white","St. Raymund of Peñafort Confessor, III class","Com. of St. Emerentiana Virgin and Martyr.","./1962/1/23/"
2020,24-1-2020,"Friday","III","","red","St. Timothy Bishop and Martyr, III class.","","./1962/1/24/"
2020,25-1-2020,"Saturday","III","","white","On the Conversion of St. Paul Apostle, III class","Com. of St. Peter Apostle.","./1962/1/25/"
